Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY23/24,Q1,21.121009900000004
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY23/24,Q2,21.9382227
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY23/24,Q3,24.094046599999995
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY23/24,Q4,26.610440300000004
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY24/25,Q1,27.29244459999999
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY24/25,Q2,29.06131670000001
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY24/25,Q3,29.19082210000001
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY24/25,Q4,30.260605100000014
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY25/26,Q1ACT,33.453879
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY25/26,Q2ACT,35.530442699999995
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY25/26,Q3M1,35.2762568
Revenue $M,IDG,GPS,Support Services,EMEA,SMB,FY25/26,Q4MT,29.41749379999999
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY23/24,Q1,7.6356344000000025
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY23/24,Q2,7.143199900000002
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY23/24,Q3,8.738779
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY23/24,Q4,8.9636532
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY24/25,Q1,8.401272599999993
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY24/25,Q2,9.509374399999999
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY24/25,Q3,9.833364699999997
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY24/25,Q4,10.47207379999999
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY25/26,Q1ACT,11.977732599999998
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY25/26,Q2ACT,12.820868200000001
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY25/26,Q3M1,9.3927513
Revenue $M,IDG,GPS,Support Services,EMEA,CONS,FY25/26,Q4MT,10.929164899999998
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY23/24,Q1,0.0028928000000000014
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY23/24,Q2,0.0021601999999999997
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY23/24,Q3,0.007646
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY23/24,Q4,0.008375200000000003
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY24/25,Q1,-5.7799999999999995e-05
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY24/25,Q2,-5.619999999999998e-05
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY24/25,Q3,-6.0799999999999994e-05
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY24/25,Q4,-5.78e-05
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY25/26,Q1ACT,-5.1199999999999984e-05
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY25/26,Q2ACT,-6.519999999999999e-05
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY25/26,Q3M1,2.9999999999999993e-07
Revenue $M,IDG,GPS,Support Services,EMEA,Others,FY25/26,Q4MT,0.009747700000000002
Revenue $M,IDG,GPS,Support Services,NA,REL,FY23/24,Q1,53.1372902
Revenue $M,IDG,GPS,Support Services,NA,REL,FY23/24,Q2,52.9679254
Revenue $M,IDG,GPS,Support Services,NA,REL,FY23/24,Q3,50.887328700000005
Revenue $M,IDG,GPS,Support Services,NA,REL,FY23/24,Q4,50.4532821
Revenue $M,IDG,GPS,Support Services,NA,REL,FY24/25,Q1,50.642612899999996
Revenue $M,IDG,GPS,Support Services,NA,REL,FY24/25,Q2,52.57196209999999
Revenue $M,IDG,GPS,Support Services,NA,REL,FY24/25,Q3,53.362538099999995
Revenue $M,IDG,GPS,Support Services,NA,REL,FY24/25,Q4,50.87587810000001
Revenue $M,IDG,GPS,Support Services,NA,REL,FY25/26,Q1ACT,52.5241259
Revenue $M,IDG,GPS,Support Services,NA,REL,FY25/26,Q2ACT,54.1277472
Revenue $M,IDG,GPS,Support Services,NA,REL,FY25/26,Q3M1,56.32760290000001
Revenue $M,IDG,GPS,Support Services,NA,REL,FY25/26,Q4MT,56.76459720000001
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY23/24,Q1,30.8101924
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY23/24,Q2,33.0913431
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY23/24,Q3,34.5436451
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY23/24,Q4,35.71110759999999
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY24/25,Q1,36.680347
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY24/25,Q2,37.131884
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY24/25,Q3,37.4680235
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY24/25,Q4,38.223237
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY25/26,Q1ACT,40.7571395
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY25/26,Q2ACT,41.782057800000004
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY25/26,Q3M1,40.7245579
Revenue $M,IDG,GPS,Support Services,NA,SMB,FY25/26,Q4MT,41.123228700000006
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY23/24,Q1,5.278976600000001
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY23/24,Q2,5.7584395
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY23/24,Q3,5.1543361999999995
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY23/24,Q4,6.2040445
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY24/25,Q1,7.739412799999999
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY24/25,Q2,6.294819400000001
Revenue $M,IDG,GPS,Support Services,NA,CONS,FY24/25,Q3,6.741277199999999
