Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,Projects & AI-Powered Verticals,Project Solutions,NA,SMB,FY24/25,Q1,0.1124414
Revenue $M,IDG,Projects & AI-Powered Verticals,Project Solutions,NA,SMB,FY24/25,Q2,0.13770970000000002
Revenue $M,IDG,Projects & AI-Powered Verticals,Project Solutions,NA,SMB,FY24/25,Q3,-0.027036099999999997
Revenue $M,IDG,Projects & AI-Powered Verticals,Project Solutions,NA,SMB,FY24/25,Q4,-0.0269037
Revenue $M,ISG,GPS,Support Services,AP,REL,FY23/24,Q1,8.365714999999998
Revenue $M,ISG,GPS,Support Services,AP,REL,FY23/24,Q2,9.913455999999998
Revenue $M,ISG,GPS,Support Services,AP,REL,FY23/24,Q3,9.774963699999997
Revenue $M,ISG,GPS,Support Services,AP,REL,FY23/24,Q4,9.726032599999998
Revenue $M,ISG,GPS,Support Services,AP,REL,FY24/25,Q1,10.346422200000015
Revenue $M,ISG,GPS,Support Services,AP,REL,FY24/25,Q2,11.280425200000005
Revenue $M,ISG,GPS,Support Services,AP,REL,FY24/25,Q3,12.176882399999998
Revenue $M,ISG,GPS,Support Services,AP,REL,FY24/25,Q4,11.687197699999999
Revenue $M,ISG,GPS,Support Services,AP,REL,FY25/26,Q1ACT,12.965764199999999
Revenue $M,ISG,GPS,Support Services,AP,REL,FY25/26,Q2ACT,12.787767199999998
Revenue $M,ISG,GPS,Support Services,AP,REL,FY25/26,Q3M1,13.446682800000001
Revenue $M,ISG,GPS,Support Services,AP,REL,FY25/26,Q4MT,14.173647199999998
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY23/24,Q1,10.120442499999998
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY23/24,Q2,9.0663979
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY23/24,Q3,9.104570499999998
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY23/24,Q4,8.525422700000002
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY24/25,Q1,7.5704958
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY24/25,Q2,7.4146129000000025
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY24/25,Q3,7.206215799999999
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY24/25,Q4,7.379099399999996
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY25/26,Q1ACT,6.5795874
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY25/26,Q2ACT,7.0281936
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY25/26,Q3M1,7.3029288
Revenue $M,ISG,GPS,Support Services,AP,SMB,FY25/26,Q4MT,8.703813200000003
Revenue $M,ISG,GPS,Support Services,AP,Others,FY23/24,Q1,3.0000000000000004e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY23/24,Q2,-1.9999999999999994e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY23/24,Q3,-3.0000000000000004e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY23/24,Q4,-1.0999999999999998e-06
Revenue $M,ISG,GPS,Support Services,AP,Others,FY24/25,Q1,-7e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY24/25,Q2,-1.4000000000000001e-06
Revenue $M,ISG,GPS,Support Services,AP,Others,FY24/25,Q3,-1.4000000000000001e-06
Revenue $M,ISG,GPS,Support Services,AP,Others,FY24/25,Q4,-9.000000000000001e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY25/26,Q1ACT,-1.0000000000000006e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY25/26,Q2ACT,-6e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY25/26,Q3M1,4.0000000000000003e-07
Revenue $M,ISG,GPS,Support Services,AP,Others,FY25/26,Q4MT,1.0000000000002273e-07
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY23/24,Q1,13.941422200000012
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY23/24,Q2,17.123693300000003
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY23/24,Q3,17.272042800000015
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY23/24,Q4,19.538156300000015
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY24/25,Q1,19.688728299999994
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY24/25,Q2,20.14295460000001
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY24/25,Q3,20.554785999999986
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY24/25,Q4,20.307715700000017
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY25/26,Q1ACT,22.41045239999999
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY25/26,Q2ACT,26.127143400000005
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY25/26,Q3M1,24.569955399999998
Revenue $M,ISG,GPS,Support Services,EMEA,REL,FY25/26,Q4MT,20.1678191
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY23/24,Q1,13.092335199999996
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY23/24,Q2,11.218953599999995
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY23/24,Q3,10.978949799999995
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY23/24,Q4,9.570194199999998
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY24/25,Q1,9.801132700000009
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY24/25,Q2,9.910425500000013
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY24/25,Q3,10.742895299999992
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY24/25,Q4,10.56903690000001
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY25/26,Q1ACT,11.1201718
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY25/26,Q2ACT,10.571918599999997
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY25/26,Q3M1,10.7107551
Revenue $M,ISG,GPS,Support Services,EMEA,SMB,FY25/26,Q4MT,13.617308399999999
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY23/24,Q1,-1.2000000000000002e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY23/24,Q2,-1.4000000000000001e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY23/24,Q3,-9e-07
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY23/24,Q4,-8.999999999999997e-07
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY24/25,Q1,-4.699999999999999e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY24/25,Q2,-1.8000000000000003e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY24/25,Q3,-3.2000000000000007e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY24/25,Q4,-2.4999999999999994e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY25/26,Q1ACT,-2e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY25/26,Q2ACT,-2.0000000000000008e-06
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY25/26,Q3M1,-2.775557561562891e-23
Revenue $M,ISG,GPS,Support Services,EMEA,Others,FY25/26,Q4MT,-0.0056906
Revenue $M,ISG,GPS,Support Services,NA,REL,FY23/24,Q1,10.764951199999999
Revenue $M,ISG,GPS,Support Services,NA,REL,FY23/24,Q2,12.5673944
Revenue $M,ISG,GPS,Support Services,NA,REL,FY23/24,Q3,12.818983400000002
Revenue $M,ISG,GPS,Support Services,NA,REL,FY23/24,Q4,14.1387833
Revenue $M,ISG,GPS,Support Services,NA,REL,FY24/25,Q1,14.243877599999998
Revenue $M,ISG,GPS,Support Services,NA,REL,FY24/25,Q2,14.9159431
Revenue $M,ISG,GPS,Support Services,NA,REL,FY24/25,Q3,16.0074822
Revenue $M,ISG,GPS,Support Services,NA,REL,FY24/25,Q4,15.5453314
Revenue $M,ISG,GPS,Support Services,NA,REL,FY25/26,Q1ACT,16.322707
Revenue $M,ISG,GPS,Support Services,NA,REL,FY25/26,Q2ACT,19.6186837
Revenue $M,ISG,GPS,Support Services,NA,REL,FY25/26,Q3M1,20.35167
Revenue $M,ISG,GPS,Support Services,NA,REL,FY25/26,Q4MT,17.0445945
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY23/24,Q1,4.8036296
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY23/24,Q2,4.5950707
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY23/24,Q3,4.5138964
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY23/24,Q4,3.8866690999999993
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY24/25,Q1,3.6208055000000003
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY24/25,Q2,3.4673977000000007
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY24/25,Q3,3.2274611
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY24/25,Q4,3.0698164
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY25/26,Q1ACT,3.0369899000000005
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY25/26,Q2ACT,3.4392523
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY25/26,Q3M1,2.2900051
Revenue $M,ISG,GPS,Support Services,NA,SMB,FY25/26,Q4MT,4.533461699999999
Revenue $M,ISG,GPS,Support Services,NA,Others,FY23/24,Q1,2.0000000000000002e-07
Revenue $M,ISG,GPS,Support Services,NA,Others,FY23/24,Q2,-5.820760540231618e-18
Revenue $M,ISG,GPS,Support Services,NA,Others,FY23/24,Q3,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Support Services,NA,Others,FY23/24,Q4,-4.0000000000000003e-07
Revenue $M,ISG,GPS,Support Services,NA,Others,FY24/25,Q1,-2e-07
Revenue $M,ISG,GPS,Support Services,NA,Others,FY24/25,Q2,-7.000000000000001e-07
Revenue $M,ISG,GPS,Support Services,NA,Others,FY24/25,Q3,0.0
Revenue $M,ISG,GPS,Support Services,NA,Others,FY24/25,Q4,-2.775557561562891e-23
Revenue $M,ISG,GPS,Support Services,LA,REL,FY23/24,Q1,1.3846104000000001
Revenue $M,ISG,GPS,Support Services,LA,REL,FY23/24,Q2,2.7826273
Revenue $M,ISG,GPS,Support Services,LA,REL,FY23/24,Q3,2.2554467000000002
Revenue $M,ISG,GPS,Support Services,LA,REL,FY23/24,Q4,3.132628499999999
Revenue $M,ISG,GPS,Support Services,LA,REL,FY24/25,Q1,1.7743908999999998
Revenue $M,ISG,GPS,Support Services,LA,REL,FY24/25,Q2,4.1331822
Revenue $M,ISG,GPS,Support Services,LA,REL,FY24/25,Q3,3.4918936999999968
Revenue $M,ISG,GPS,Support Services,LA,REL,FY24/25,Q4,3.2771772
Revenue $M,ISG,GPS,Support Services,LA,REL,FY25/26,Q1ACT,2.7693929
Revenue $M,ISG,GPS,Support Services,LA,REL,FY25/26,Q2ACT,3.2059989
Revenue $M,ISG,GPS,Support Services,LA,REL,FY25/26,Q3M1,4.9172567
Revenue $M,ISG,GPS,Support Services,LA,REL,FY25/26,Q4MT,3.8632988
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY23/24,Q1,2.9783014000000003
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY23/24,Q2,2.0180735000000003
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY23/24,Q3,2.546986100000001
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY23/24,Q4,1.9887726999999997
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY24/25,Q1,2.258180199999999
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY24/25,Q2,0.8169491999999998
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY24/25,Q3,1.3705863999999999
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY24/25,Q4,1.5907886999999996
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY25/26,Q1ACT,1.9344755
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY25/26,Q2ACT,1.7633169000000002
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY25/26,Q3M1,0.8326911000000001
Revenue $M,ISG,GPS,Support Services,LA,SMB,FY25/26,Q4MT,1.6042392
Revenue $M,ISG,GPS,Support Services,LA,Others,FY23/24,Q1,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY23/24,Q2,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY23/24,Q3,2.775557561562891e-23
Revenue $M,ISG,GPS,Support Services,LA,Others,FY23/24,Q4,-4.0000000000000003e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY24/25,Q1,6e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY24/25,Q2,2.0000000000000004e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY24/25,Q3,1.0000000000000004e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY24/25,Q4,2.775557561562891e-23
Revenue $M,ISG,GPS,Support Services,LA,Others,FY25/26,Q1ACT,-6.000000000000001e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY25/26,Q2ACT,-9e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY25/26,Q3M1,1.9999999995343388e-07
Revenue $M,ISG,GPS,Support Services,LA,Others,FY25/26,Q4MT,-2.0000000000000007e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY23/24,Q1,0.1361369
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY23/24,Q2,0.06003900000000001
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY23/24,Q3,0.029437799999999997
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY23/24,Q4,0.035676
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY24/25,Q1,0.1183812
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY24/25,Q2,0.0789617
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY24/25,Q3,0.0789938
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,REL,FY24/25,Q4,0.06602450000000001
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY23/24,Q1,0.021125599999999998
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY23/24,Q2,0.014367600000000001
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY23/24,Q3,0.13503010000000001
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY23/24,Q4,0.023295
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY24/25,Q1,0.08994379999999999
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY24/25,Q2,0.0448077
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY24/25,Q3,0.058595400000000006
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,SMB,FY24/25,Q4,0.048975399999999995
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY23/24,Q1,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY23/24,Q2,3.0000000000000004e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY23/24,Q3,2.0000000000000002e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY23/24,Q4,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY24/25,Q1,1.0000000000000001e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY24/25,Q2,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY24/25,Q3,1.0000000000000001e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,AP,Others,FY24/25,Q4,2.0000000000000002e-07
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,REL,FY23/24,Q1,0.057776
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,REL,FY23/24,Q2,0.0281766
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,REL,FY23/24,Q3,0.032953300000000005
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,REL,FY23/24,Q4,0.05780810000000001
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,SMB,FY23/24,Q1,0.0476755
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,SMB,FY23/24,Q2,0.0036034
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,SMB,FY23/24,Q3,0.0511721
Revenue $M,ISG,GPS,Multi-Vendor Support Service,EMEA,SMB,FY23/24,Q4,0.0136924
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,REL,FY23/24,Q1,0.0159145
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,REL,FY23/24,Q2,0.0742519
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,REL,FY23/24,Q3,0.2126357
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,REL,FY23/24,Q4,-0.0076365000000000035
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,SMB,FY23/24,Q1,0.006806
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,SMB,FY23/24,Q2,0.0062768
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,SMB,FY23/24,Q3,0.010251199999999999
Revenue $M,ISG,GPS,Multi-Vendor Support Service,NA,SMB,FY23/24,Q4,0.0035091999999999996
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY23/24,Q1,0.19613940000000002
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY23/24,Q2,0.1647341
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY23/24,Q3,0.255828
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY23/24,Q4,0.24608229999999995
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY24/25,Q1,0.242394
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY24/25,Q2,0.43125360000000007
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY24/25,Q3,0.22092650000000003
Revenue $M,ISG,GPS,Configuration Services,AP,REL,FY24/25,Q4,0.3133701
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY23/24,Q1,0.0859047
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY23/24,Q2,0.097064
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY23/24,Q3,0.10788289999999999
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY23/24,Q4,0.102791
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY24/25,Q1,0.10289770000000001
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY24/25,Q2,0.08697450000000001
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY24/25,Q3,0.0930142
Revenue $M,ISG,GPS,Configuration Services,AP,SMB,FY24/25,Q4,0.1308981
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY23/24,Q1,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY23/24,Q2,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY23/24,Q3,0.0
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY23/24,Q4,0.0
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY24/25,Q1,9.999999999999998e-08
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY24/25,Q2,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY24/25,Q3,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Configuration Services,AP,Others,FY24/25,Q4,0.0
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY23/24,Q1,0.483445
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY23/24,Q2,0.43773030000000007
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY23/24,Q3,0.5234206
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY23/24,Q4,0.6247536000000001
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY24/25,Q1,0.7902245
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY24/25,Q2,0.9080526000000001
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY24/25,Q3,0.7492686999999999
Revenue $M,ISG,GPS,Configuration Services,EMEA,REL,FY24/25,Q4,0.6952802999999999
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q1,0.056818
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q2,0.053847599999999995
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q3,0.0654463
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY23/24,Q4,0.0503485
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q1,0.052973
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q2,0.054268
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q3,0.093685
Revenue $M,ISG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q4,0.05603249999999999
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY23/24,Q1,2.2278187
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY23/24,Q2,0.5426846000000001
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY23/24,Q3,0.3802211
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY23/24,Q4,0.511527
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY24/25,Q1,0.7845099
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY24/25,Q2,0.8471681000000001
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY24/25,Q3,1.0093734
Revenue $M,ISG,GPS,Configuration Services,NA,REL,FY24/25,Q4,0.9235521000000001
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY23/24,Q1,0.1577988
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY23/24,Q2,0.133344
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY23/24,Q3,0.0978797
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY23/24,Q4,0.1271504
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY24/25,Q1,0.1147895
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY24/25,Q2,0.1935303
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY24/25,Q3,0.2272668
Revenue $M,ISG,GPS,Configuration Services,NA,SMB,FY24/25,Q4,0.2296385
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY23/24,Q1,0.07463710000000001
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY23/24,Q2,0.0735165
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY23/24,Q3,0.0755085
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY23/24,Q4,0.08858869999999999
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY24/25,Q1,0.030591200000000002
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY24/25,Q2,0.0365909
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY24/25,Q3,0.143
Revenue $M,ISG,GPS,Configuration Services,LA,REL,FY24/25,Q4,0.10166510000000001
Revenue $M,ISG,GPS,Configuration Services,LA,SMB,FY23/24,Q1,0.026802799999999998
Revenue $M,ISG,GPS,Configuration Services,LA,SMB,FY23/24,Q2,0.026305099999999998
Revenue $M,ISG,GPS,Configuration Services,LA,SMB,FY23/24,Q3,0.0265015
Revenue $M,ISG,GPS,Configuration Services,LA,SMB,FY23/24,Q4,0.0327142
Revenue $M,ISG,GPS,Configuration Services,LA,Others,FY23/24,Q1,1.0000000000000001e-07
Revenue $M,ISG,GPS,Configuration Services,LA,Others,FY23/24,Q2,1.0000000000000001e-07
Revenue $M,ISG,GPS,Configuration Services,LA,Others,FY23/24,Q3,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Configuration Services,LA,Others,FY23/24,Q4,-1.0000000000000001e-07
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY23/24,Q1,0.4151912000000001
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY23/24,Q2,0.9110483999999998
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY23/24,Q3,0.4027708999999999
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY23/24,Q4,0.7121483000000002
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY24/25,Q1,0.6256427000000001
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY24/25,Q2,1.9949755999999998
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY24/25,Q3,0.5973449
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY24/25,Q4,0.375479
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY25/26,Q1ACT,0.30108229999999997
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY25/26,Q2ACT,0.38286430000000005
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY25/26,Q3M1,0.8413301999999998
Revenue $M,ISG,GPS,Deployment Services,AP,REL,FY25/26,Q4MT,0.9755024000000001
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY23/24,Q1,0.3415016999999999
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY23/24,Q2,0.2531752
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY23/24,Q3,0.2870627
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY23/24,Q4,0.3341036
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY24/25,Q1,0.3724469000000001
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY24/25,Q2,0.12851790000000002
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY24/25,Q3,0.15990950000000004
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY24/25,Q4,0.1606827
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY25/26,Q1ACT,0.302948
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY25/26,Q2ACT,0.5493422
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY25/26,Q3M1,0.1613134
Revenue $M,ISG,GPS,Deployment Services,AP,SMB,FY25/26,Q4MT,0.22769239999999996
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY23/24,Q1,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY23/24,Q2,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY23/24,Q3,-9.999999999999998e-08
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY23/24,Q4,-2e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY24/25,Q1,2.0000000000000002e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY24/25,Q2,1.0000000000000004e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY24/25,Q3,-2.0000000000000002e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY24/25,Q4,-2.775557561562891e-23
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY25/26,Q1ACT,0.0
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY25/26,Q2ACT,2.0000000000000004e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY25/26,Q3M1,-2.9999999999999993e-07
Revenue $M,ISG,GPS,Deployment Services,AP,Others,FY25/26,Q4MT,3.0000000000582085e-07
Revenue $M,ISG,GPS,Deployment Services,EMEA,REL,FY23/24,Q1,0.4247935000000001
